Date,Full_Capacity_mcft_CHEMBARAMBAKKAM,Full_Capacity_mcft_CHOLAVARAM,Full_Capacity_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Full_Capacity_mcft_POONDI,Full_Capacity_mcft_PUZHAL,Full_Capacity_mcft_VEERANAM,Inflow_cusecs_CHEMBARAMBAKKAM,Inflow_cusecs_CHOLAVARAM,Inflow_cusecs_KANNANKOTTAI_THERVOY_KANDIGAI,Inflow_cusecs_POONDI,Inflow_cusecs_PUZHAL,Inflow_cusecs_VEERANAM,Level_ft_CHEMBARAMBAKKAM,Level_ft_CHOLAVARAM,Level_ft_KANNANKOTTAI_THERVOY_KANDIGAI,Level_ft_POONDI,Level_ft_PUZHAL,Level_ft_VEERANAM,Outflow_cusecs_CHEMBARAMBAKKAM,Outflow_cusecs_CHOLAVARAM,Outflow_cusecs_KANNANKOTTAI_THERVOY_KANDIGAI,Outflow_cusecs_POONDI,Outflow_cusecs_PUZHAL,Outflow_cusecs_VEERANAM,Rainfall_mm_CHEMBARAMBAKKAM,Rainfall_mm_CHOLAVARAM,Rainfall_mm_KANNANKOTTAI_THERVOY_KANDIGAI,Rainfall_mm_POONDI,Rainfall_mm_PUZHAL,Rainfall_mm_VEERANAM,Storage_mcft_CHEMBARAMBAKKAM,Storage_mcft_CHOLAVARAM,Storage_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_mcft_POONDI,Storage_mcft_PUZHAL,Storage_mcft_VEERANAM,Storage_Level_pct_CHEMBARAMBAKKAM,Storage_Level_pct_CHOLAVARAM,Storage_Level_pct_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_Level_pct_POONDI,Storage_Level_pct_PUZHAL,Storage_Level_pct_VEERANAM,Storage_as_on_same_day_last_year_mcft_CHEMBARAMBAKKAM,Storage_as_on_same_day_last_year_mcft_CHOLAVARAM,Storage_as_on_same_day_last_year_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_as_on_same_day_last_year_mcft_POONDI,Storage_as_on_same_day_last_year_mcft_PUZHAL,Storage_as_on_same_day_last_year_mcft_VEERANAM,Full_Capacity_mcft_TOTAL,Level_ft_TOTAL,Storage_mcft_TOTAL,Storage_Level_pct_TOTAL,Inflow_cusecs_TOTAL,Outflow_cusecs_TOTAL,Rainfall_mm_TOTAL,Storage_as_on_same_day_last_year_mcft_TOTAL,Rainfall_mm_day,temperature_mean_celsius,relative_humidity_mean_percent,evapotranspiration_mm_day,daily_average_water_level,Population,Per_Capita_Consumption_LPCD,Season_Factor,Random_Fluctuation,Total_Consumption_MLD,ENSO_Index,IOD_Index,ENSO_3m,IOD_3m,Water_Security_Index,Crisis_Target,Realistic_Population,Month,Season_Multiplier,Crisis_Behavior,Temp_Factor,Realistic_Total_Consumption_MLD,Historical_Crisis,Crisis_Severity_Historical,Crisis_Target_V2,Water_Stress_Duration_Days,Days_Supply_Remaining,Consecutive_Dry_Days,Heat_Wave_Risk,Critical_Reservoirs_Count,Reservoir_Risk_Diversity,Pre_Monsoon_Risk,Monsoon_Failure_Risk
2015-01-11,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0014285714285714,23.266914,63.770584,3.582557128571429,-6.050890000000001,8000000.0,126.35,0.95,0.998,434.5169521566782,0.51,-0.1,0.51,-0.1,0.2594945771507358,3,8000000.0,1,0.9,0.5,0.90667285,434.5169521566782,0,0,1,11,83.49196055947831,11,0.0,4,14.980637391869102,0,0
2015-01-12,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0,23.010664,66.016396,3.785868842857143,-6.050890000000001,8000000.0,126.35,0.95,0.998,431.4164514690585,0.51,-0.1,0.51,-0.1,0.2578701830553653,3,8000000.0,1,0.9,0.5,0.9002665999999999,431.4164514690585,0,0,1,12,84.09199994891378,12,0.0,4,14.980637391869102,0,0
2015-01-13,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0,22.962751,67.75314,3.905689985714286,-6.050890000000001,8000000.0,126.35,0.95,0.998,440.11916839269725,0.51,-0.1,0.51,-0.1,0.2569153616885117,3,8000000.0,1,0.9,0.5,0.899068775,440.11916839269725,0,0,1,13,82.42920296899749,13,0.0,4,14.980637391869102,0,0
2015-01-14,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0,23.229418,76.92904,4.006857057142858,-6.050890000000001,8000000.0,126.35,0.95,0.998,414.92137136164735,0.51,-0.1,0.51,-0.1,0.2561091894294374,3,8000000.0,1,0.9,0.5,0.90573545,414.92137136164735,0,0,1,14,87.43505305876073,14,0.0,4,14.980637391869102,0,0
2015-01-15,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0,24.381498,78.5076,4.075435700000001,-6.050890000000001,8000000.0,126.35,0.95,0.998,430.6822361414718,0.51,-0.1,0.51,-0.1,0.255562705295265,3,8000000.0,1,0.9,0.5,0.93453745,430.6822361414718,0,0,1,15,84.2353576870529,15,0.0,4,14.980637391869102,0,0
2015-01-16,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0057142857142857,24.431498,72.99486,4.107781357142858,-6.050890000000001,8000000.0,126.35,0.95,0.998,447.12097278019706,0.51,-0.1,0.51,-0.1,0.2553219900777919,3,8000000.0,1,0.9,0.5,0.9357874500000001,447.12097278019706,0,0,1,16,81.13838201989081,16,0.0,4,14.980637391869102,0,0
2015-01-17,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0057142857142857,24.039833,68.36123,4.2243862142857145,-6.050890000000001,8000000.0,126.35,0.95,0.998,436.35971862042487,0.51,-0.1,0.51,-0.1,0.2543927983973916,3,8000000.0,1,0.9,0.5,0.925995825,436.35971862042487,0,0,1,17,83.13937032632771,17,0.0,4,14.980637391869102,0,0
2015-01-18,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0057142857142857,23.912748,68.47796,4.275080028571429,-6.050890000000001,8000000.0,126.35,0.95,0.998,452.717990731884,0.51,-0.1,0.51,-0.1,0.2539888334885856,3,8000000.0,1,0.9,0.5,0.9228187,452.717990731884,0,0,1,18,80.13525653863285,18,0.0,4,14.980637391869102,0,0
2015-01-19,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0057142857142857,23.700249,66.26815,4.296280885714286,-6.050890000000001,8000000.0,126.35,0.95,0.998,433.7611686754223,0.51,-0.1,0.51,-0.1,0.2538198897536744,3,8000000.0,1,0.9,0.5,0.917506225,433.7611686754223,0,0,1,19,83.63743656112514,19,0.0,4,14.980637391869102,0,0
2015-01-20,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0057142857142857,23.506502,65.825554,4.393376314285715,-6.050890000000001,8000000.0,126.35,0.95,0.998,424.76101065139625,0.51,-0.1,0.51,-0.1,0.2530461632842621,3,8000000.0,1,0.9,0.5,0.9126625500000001,424.76101065139625,0,0,1,20,85.40960979903886,20,0.0,4,14.980637391869102,0,0
2015-01-21,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0114285714285714,23.733582,79.02262,4.3066882,-6.050890000000001,8000000.0,126.35,0.95,0.998,465.9371652066601,0.51,-0.1,0.51,-0.1,0.2537539950896852,3,8000000.0,1,0.9,0.5,0.91833955,465.9371652066601,0,0,1,21,77.86172707483146,21,0.0,4,14.980637391869102,0,0
2015-01-22,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.0442857142857142,24.427332,80.49398,4.2400028857142855,-6.050890000000001,8000000.0,126.35,0.95,0.998,451.6619842393229,0.51,-0.1,0.51,-0.1,0.2543833622091787,3,8000000.0,1,0.9,0.5,0.9356833,451.6619842393229,0,0,1,22,80.32261644235427,22,0.0,4,14.980637391869102,0,0
2015-01-23,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.2957142857142857,24.479416,79.661995,4.059399828571428,-6.050890000000001,8000000.0,126.35,0.95,0.998,456.297423892622,0.51,-0.1,0.51,-0.1,0.2565722242431181,3,8000000.0,1,0.9,0.5,0.9369854,456.297423892622,0,0,1,23,79.50663414942738,23,0.0,4,14.980637391869102,0,0
2015-01-24,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.5,23.76275,70.71027,4.0179294,-6.050890000000001,8000000.0,126.35,0.95,0.998,427.57575492599904,0.51,-0.1,0.51,-0.1,0.2575118108330358,3,8000000.0,1,0.9,0.5,0.91906875,427.57575492599904,0,0,1,24,84.84735576221644,24,0.0,4,14.980637391869102,0,0
2015-01-25,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.5071428571428571,24.266916,65.742676,3.9174813,-6.050890000000001,8000000.0,126.35,0.95,0.998,445.3982483102765,0.51,-0.1,0.51,-0.1,0.258333551720514,3,8000000.0,1,0.9,0.5,0.9316728999999999,445.3982483102765,0,0,1,25,81.45221142491852,25,0.0,4,14.980637391869102,0,0
2015-01-26,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.5085714285714286,24.146082,69.37006,3.7281523142857145,-6.050890000000001,8000000.0,126.35,0.95,0.998,452.826760088944,0.51,-0.1,0.51,-0.1,0.259846521340299,3,8000000.0,1,0.9,0.5,0.92865205,452.826760088944,0,0,1,26,80.11600798586467,26,0.0,4,14.980637391869102,0,0
2015-01-27,3645.0,1081.0,500.0,3231.0,3300.0,1465.0,69.0,116.0,75.0,17.0,23.0,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93.0,100.0,15.0,20.0,115.0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,511.0,10.0,204.0,80.0,690.0,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105.0,15.0,210.0,105.0,1281.0,523.4,13222.0,,1281.0,9.69,0.0,228.0,0.0,2491.0,0.5085714285714286,24.252335,69.70836,3.519150757142857,-6.050890000000001,8000000.0,126.35,0.95,0.998,436.98713145908533,0.51,-0.1,0.51,-0.1,0.2615119966287763,3,8000000.0,1,0.9,0.5,0.931308375,436.98713145908533,0,0,1,27,83.0200013536394,27,0.0,4,14.980637391869102,0,0
