Date,Full_Capacity_mcft_CHEMBARAMBAKKAM,Full_Capacity_mcft_CHOLAVARAM,Full_Capacity_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Full_Capacity_mcft_POONDI,Full_Capacity_mcft_PUZHAL,Full_Capacity_mcft_VEERANAM,Inflow_cusecs_CHEMBARAMBAKKAM,Inflow_cusecs_CHOLAVARAM,Inflow_cusecs_KANNANKOTTAI_THERVOY_KANDIGAI,Inflow_cusecs_POONDI,Inflow_cusecs_PUZHAL,Inflow_cusecs_VEERANAM,Level_ft_CHEMBARAMBAKKAM,Level_ft_CHOLAVARAM,Level_ft_KANNANKOTTAI_THERVOY_KANDIGAI,Level_ft_POONDI,Level_ft_PUZHAL,Level_ft_VEERANAM,Outflow_cusecs_CHEMBARAMBAKKAM,Outflow_cusecs_CHOLAVARAM,Outflow_cusecs_KANNANKOTTAI_THERVOY_KANDIGAI,Outflow_cusecs_POONDI,Outflow_cusecs_PUZHAL,Outflow_cusecs_VEERANAM,Rainfall_mm_CHEMBARAMBAKKAM,Rainfall_mm_CHOLAVARAM,Rainfall_mm_KANNANKOTTAI_THERVOY_KANDIGAI,Rainfall_mm_POONDI,Rainfall_mm_PUZHAL,Rainfall_mm_VEERANAM,Storage_mcft_CHEMBARAMBAKKAM,Storage_mcft_CHOLAVARAM,Storage_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_mcft_POONDI,Storage_mcft_PUZHAL,Storage_mcft_VEERANAM,Storage_Level_pct_CHEMBARAMBAKKAM,Storage_Level_pct_CHOLAVARAM,Storage_Level_pct_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_Level_pct_POONDI,Storage_Level_pct_PUZHAL,Storage_Level_pct_VEERANAM,Storage_as_on_same_day_last_year_mcft_CHEMBARAMBAKKAM,Storage_as_on_same_day_last_year_mcft_CHOLAVARAM,Storage_as_on_same_day_last_year_mcft_KANNANKOTTAI_THERVOY_KANDIGAI,Storage_as_on_same_day_last_year_mcft_POONDI,Storage_as_on_same_day_last_year_mcft_PUZHAL,Storage_as_on_same_day_last_year_mcft_VEERANAM,Full_Capacity_mcft_TOTAL,Storage_mcft_TOTAL,Storage_Level_pct_TOTAL,Inflow_cusecs_TOTAL,Outflow_cusecs_TOTAL,Rainfall_mm_TOTAL,Storage_as_on_same_day_last_year_mcft_TOTAL,Rainfall_mm_day,temperature_mean_celsius,relative_humidity_mean_percent,evapotranspiration_mm_day,daily_average_water_level,Population,Per_Capita_Consumption_LPCD,Season_Factor,Random_Fluctuation,Total_Consumption_MLD,ENSO_Index,IOD_Index,ENSO_3m,IOD_3m,Water_Security_Index,Crisis_Target,year,month,quarter,day_of_year,is_monsoon,Storage_mcft_TOTAL_lag_7,Storage_mcft_TOTAL_lag_14,Storage_mcft_TOTAL_lag_30,Storage_mcft_TOTAL_lag_90,Rainfall_mm_TOTAL_lag_7,Rainfall_mm_TOTAL_lag_14,Rainfall_mm_TOTAL_lag_30,Rainfall_mm_TOTAL_lag_90,daily_average_water_level_lag_7,daily_average_water_level_lag_14,daily_average_water_level_lag_30,daily_average_water_level_lag_90,temperature_mean_celsius_lag_7,temperature_mean_celsius_lag_14,temperature_mean_celsius_lag_30,temperature_mean_celsius_lag_90,Total_Consumption_MLD_lag_7,Total_Consumption_MLD_lag_14,Total_Consumption_MLD_lag_30,Total_Consumption_MLD_lag_90,Water_Security_Index_lag_7,Water_Security_Index_lag_14,Water_Security_Index_lag_30,Water_Security_Index_lag_90,Crisis_Target_lag_7,Crisis_Target_lag_14,Crisis_Target_lag_30,Crisis_Target_lag_90,ENSO_Index_lag_7,ENSO_Index_lag_14,ENSO_Index_lag_30,ENSO_Index_lag_90,IOD_Index_lag_7,IOD_Index_lag_14,IOD_Index_lag_30,IOD_Index_lag_90,temperature_mean_celsius_roll_mean_7,temperature_mean_celsius_roll_mean_30,Storage_mcft_TOTAL_roll_mean_7,Storage_mcft_TOTAL_roll_mean_30,daily_average_water_level_roll_mean_7,daily_average_water_level_roll_mean_30,Water_Security_Index_roll_mean_7,Water_Security_Index_roll_mean_30,Rainfall_mm_TOTAL_roll_sum_7,Rainfall_mm_TOTAL_roll_sum_30,ENSO_Index_roll_mean_30,ENSO_Index_roll_mean_90,IOD_Index_roll_mean_30,IOD_Index_roll_mean_90
11-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,0.008571429,29.048162,67.467995,5.910656014,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.491444444,-0.213544444,0.240963902,3,2015,4,2,101,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,30.227335,28.618998,27.254416,23.266914,1059.32,1059.32,1059.32,1059.32,0.241213551,0.242540447,0.247923835,0.259494577,3,3,3,3,0.7,0.47,0.47,0.51,-0.008,-0.241,-0.241,-0.1,29.35620071,28.45330553,1281,1281,-6.05089,-6.05089,0.240112956,0.24275576,0,0,0.554333333,0.491444444,-0.155566667,-0.213544444
12-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,0.084285714,28.448166,66.59696,5.5467764,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.493555556,-0.212522222,0.244089316,3,2015,4,2,102,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,29.775251,29.089836,27.069,23.010664,1059.32,1059.32,1059.32,1059.32,0.240512164,0.242843123,0.246737987,0.257870183,3,3,3,3,0.7,0.47,0.47,0.51,-0.008,-0.241,-0.241,-0.1,29.16661714,28.49927773,1281,1281,-6.05089,-6.05089,0.240623977,0.242667471,0,0,0.562,0.493555556,-0.1478,-0.212522222
13-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,1.462857143,28.375254,66.95892,5.517174686,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.495666667,-0.2115,0.248435701,3,2015,4,2,103,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,29.775248,29.033585,27.227331,22.962751,1059.32,1059.32,1059.32,1059.32,0.239428054,0.243422744,0.246669828,0.256915362,3,3,3,3,0.7,0.47,0.47,0.51,-0.008,-0.241,-0.241,-0.1,28.966618,28.53754183,1281,1281,-6.05089,-6.05089,0.241910784,0.242726333,0,0,0.569666667,0.495666667,-0.140033333,-0.2115
14-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,2.581428571,25.7565,82.936134,5.206015043,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.497777778,-0.210477778,0.254250498,3,2015,4,2,104,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,29.181498,29.127335,26.719,23.229418,1059.32,1059.32,1059.32,1059.32,0.239152239,0.243829736,0.246205687,0.256109189,3,3,3,3,0.7,0.47,0.47,0.51,-0.008,-0.241,-0.241,-0.1,28.47733257,28.5054585,1281,1281,-6.05089,-6.05089,0.244067678,0.242994494,0,0,0.577333333,0.497777778,-0.132266667,-0.210477778
15-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,7.844285714,27.337753,79.69358,5.0901473,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.499888889,-0.209455556,0.270866117,2,2015,4,2,105,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,29.108582,29.612753,26.241915,24.381498,1059.32,1059.32,1059.32,1059.32,0.239929114,0.2433435,0.246013874,0.255562705,3,3,3,3,0.7,0.7,0.47,0.51,-0.008,-0.008,-0.241,-0.1,28.224357,28.54198643,1281,1281,-6.05089,-6.05089,0.24848725,0.243822902,0,0,0.585,0.499888889,-0.1245,-0.209455556
16-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,10.18,28.31067,75.99783,4.901246157,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.502,-0.208433333,0.279335835,2,2015,4,2,106,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,29.410666,30.339838,26.777334,24.431498,1059.32,1059.32,1059.32,1059.32,0.240323924,0.242386638,0.245313485,0.25532199,3,3,3,3,0.7,0.7,0.47,0.51,-0.008,-0.008,-0.241,-0.1,28.06721471,28.59309763,1281,1281,-6.05089,-6.05089,0.25406038,0.24495698,0,0,0.592666667,0.502,-0.116733333,-0.208433333
17-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,10.26857143,28.62942,72.94494,4.7907603,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.504111111,-0.207411111,0.28048036,2,2015,4,2,107,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,29.193998,30.71067,27.16275,24.039833,1059.32,1059.32,1059.32,1059.32,0.240481294,0.241638513,0.244754067,0.254392798,3,3,3,3,0.7,0.7,0.47,0.51,-0.008,-0.008,-0.241,-0.1,27.98656071,28.64198663,1281,1281,-6.05089,-6.05089,0.259774533,0.246147857,0,0,0.600333333,0.504111111,-0.108966667,-0.207411111
18-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,10.33285714,28.775251,73.59539,4.760057671,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.506222222,-0.206388889,0.280916702,2,2015,4,2,108,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,29.048162,30.227335,26.95233,23.912748,1059.32,1059.32,1059.32,1059.32,0.240963902,0.241213551,0.244536701,0.253988833,3,3,3,3,0.7,0.7,0.47,0.51,-0.008,-0.008,-0.241,-0.1,27.94757343,28.70275067,1281,1281,-6.05089,-6.05089,0.265482076,0.247360523,0,0,0.608,0.506222222,-0.1012,-0.206388889
19-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,10.25571429,29.037752,74.07609,4.924405343,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.508333333,-0.205366667,0.279377044,2,2015,4,2,109,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,28.448166,29.775251,27.258585,23.700249,1059.32,1059.32,1059.32,1059.32,0.244089316,0.240512164,0.244356282,0.25381989,3,3,3,3,0.7,0.7,0.47,0.51,-0.008,-0.008,-0.241,-0.1,28.0318,28.76205623,1281,1281,-6.05089,-6.05089,0.27052318,0.248527882,0,0,0.615666667,0.508333333,-0.093433333,-0.205366667
20-04-2015,3645,1081,500,3231,3300,1465,69,116,75,17,23,1.2,69.44,45.04,101.83,122.22,34.19,45.75,93,100,15,20,115,45.65,0,0,0,0,0,0,511,10,204,80,690,98.23,14.02,0.93,40.8,2.48,20.91,6.71,1105,15,210,105,1281,523.4,13222,1281,9.69,0,228,0,2491,8.882857143,28.879416,77.4134,4.761527771,-6.05089,8000000,126.35,0.95,0.998,1059.32,0.7,-0.008,0.510444444,-0.204344444,0.276581511,2,2015,4,2,110,0,1281,1281,1281,1281,0,0,0,0,-6.05089,-6.05089,-6.05089,-6.05089,28.375254,29.775248,27.648169,23.506502,1059.32,1059.32,1059.32,1059.32,0.248435701,0.239428054,0.242787794,0.253046163,3,3,3,3,0.7,0.7,0.47,0.51,-0.008,-0.008,-0.241,-0.1,28.10382314,28.8030978,1281,1281,-6.05089,-6.05089,0.27454401,0.249654339,0,0,0.623333333,0.510444444,-0.085666667,-0.204344444
