Date,Population,Per_Capita_Consumption_LPCD,Season_Factor,Random_Fluctuation,Total_Consumption_MLD,Crisis_Event
2015-12-29,8000000,133.0,1.0,1.008,1057.86,
2015-12-30,8000000,133.0,1.0,1.003,1061.53,
2015-12-31,8000000,133.0,1.0,1.011,1073.13,
2016-01-01,8000000,133.0,1.0,1.002,1074.78,
2016-01-02,8000000,133.0,1.0,0.995,1068.8,
2016-01-03,8000000,133.0,1.0,1.01,1078.32,
2016-01-04,8000000,133.0,1.0,1.003,1080.7,
2016-01-05,8000000,133.0,1.0,0.997,1076.31,
2016-01-06,8000000,133.0,1.0,0.982,1057.4,
2016-01-07,8000000,133.0,1.0,0.982,1039.75,
2016-01-08,8000000,133.0,1.0,1.0,1040.56,
2016-01-09,8000000,133.0,1.0,0.993,1034.71,
2016-01-10,8000000,133.0,1.0,1.0,1036.4,
2016-01-11,8000000,133.0,1.0,1.006,1043.87,
2016-01-12,8000000,133.0,1.0,1.001,1045.77,
2016-01-13,8000000,133.0,1.0,0.993,1040.01,
2016-01-14,8000000,133.0,1.0,1.009,1050.59,
2016-01-15,8000000,133.0,1.0,0.983,1033.9,
2016-01-16,8000000,133.0,1.0,0.982,1017.73,
2016-01-17,8000000,133.0,1.0,1.002,1022.11,
2016-01-18,8000000,133.0,1.0,0.997,1021.51,
2016-01-19,8000000,133.0,1.0,1.002,1025.34,
2016-01-20,8000000,133.0,1.0,0.994,1021.72,
2016-01-21,8000000,133.0,1.0,1.013,1036.77,
2016-01-22,8000000,133.0,1.0,1.006,1043.89,
2016-01-23,8000000,133.0,1.0,1.002,1046.62,
2016-01-24,8000000,133.0,1.0,0.983,1030.55,
2016-01-25,8000000,133.0,1.0,0.985,1199.99,Panic Spike
2016-01-26,8000000,133.0,1.0,0.985,1198.92,Panic Spike
2016-01-27,8000000,133.0,1.0,0.985,1200.47,Panic Spike
2016-01-28,8000000,133.0,1.0,0.985,1200.17,Panic Spike
2016-01-29,8000000,133.0,1.0,0.985,1200.7,Panic Spike
2016-01-30,8000000,133.0,1.0,0.985,1189.13,Panic Spike
2016-01-31,8000000,133.0,1.0,0.985,1202.73,Panic Spike
2016-02-01,8000000,133.0,1.0,0.985,1209.11,Panic Spike
2016-02-02,8000000,133.0,1.0,0.985,1200.23,Panic Spike
2016-02-03,8000000,133.0,1.0,0.995,1187.7,
2016-02-04,8000000,133.0,1.0,0.99,1170.31,
2016-02-05,8000000,133.0,1.0,0.979,1141.58,
2016-02-06,8000000,133.0,1.0,0.995,1132.01,
2016-02-07,8000000,133.0,1.0,0.996,1123.79,
2016-02-08,8000000,133.0,1.0,1.0,1121.08,
2016-02-09,8000000,133.0,1.0,0.984,1100.67,
2016-02-10,8000000,133.0,1.0,1.015,1114.47,
2016-02-11,8000000,133.0,1.0,0.995,1106.44,
2016-02-12,8000000,133.0,1.0,0.991,1094.82,
2016-02-13,8000000,133.0,1.0,1.004,1097.58,
2016-02-14,8000000,133.0,1.0,1.018,1115.07,
2016-02-15,8000000,133.0,1.0,1.001,1113.53,
2016-02-16,8000000,133.0,1.0,0.992,1102.56,
2016-02-17,8000000,133.0,1.0,0.983,1082.97,
2016-02-18,8000000,133.0,1.0,0.993,1074.54,
2016-02-19,8000000,133.0,1.0,0.99,1064.28,
2016-02-20,8000000,133.0,1.0,0.989,1053.07,
2016-02-21,8000000,133.0,1.0,1.017,1070.54,
2016-02-22,8000000,133.0,1.0,0.985,1054.92,
2016-02-23,8000000,133.0,1.0,0.978,1033.46,
2016-02-24,8000000,133.0,1.0,1.008,1042.98,
2016-02-25,8000000,133.0,1.0,1.012,1056.19,
2016-02-26,8000000,133.0,1.0,0.989,1045.61,
2016-02-27,8000000,133.0,1.0,1.013,1059.51,
2016-02-28,8000000,133.0,1.0,1.018,1077.78,
2016-02-29,8000000,133.0,1.0,0.995,1071.47,
2016-03-01,8000000,133.0,1.0,0.991,1061.87,
2016-03-02,8000000,133.0,1.0,0.995,1056.51,
2016-03-03,8000000,133.0,1.0,1.006,1063.2,
2016-03-04,8000000,133.0,1.0,0.992,1054.96,
2016-03-05,8000000,133.0,1.0,0.988,1043.79,
2016-03-06,8000000,133.0,1.0,0.989,1033.81,
2016-03-07,8000000,133.0,1.0,1.009,1044.04,
2016-03-08,8000000,133.0,1.0,1.0,1045.17,
2016-03-09,8000000,133.0,1.0,0.99,1036.01,
2016-03-10,8000000,133.0,1.0,1.01,1047.17,
2016-03-11,8000000,133.0,1.0,0.985,1032.99,
2016-03-12,8000000,133.0,1.0,0.993,1027.69,
2016-03-13,8000000,133.0,1.0,0.998,1027.86,
2016-03-14,8000000,133.0,1.0,1.001,1030.56,
2016-03-15,8000000,133.0,1.0,0.985,1017.97,
2016-03-16,8000000,133.0,1.0,1.0,1020.02,
2016-03-17,8000000,133.0,1.0,1.007,1029.13,
2016-03-18,8000000,133.0,1.0,1.01,1040.36,
2016-03-19,8000000,133.0,1.0,1.008,1049.13,
2016-03-20,8000000,133.0,1.0,1.008,1057.84,
2016-03-21,8000000,133.0,1.0,0.985,1043.4,
2016-03-22,8000000,133.0,1.0,1.001,1045.66,
2016-03-23,8000000,133.0,1.0,0.999,1045.96,
2016-03-24,8000000,133.0,1.0,1.019,1066.18,
2016-03-25,8000000,133.0,1.0,0.999,1065.17,
2016-03-26,8000000,133.0,1.0,1.006,1071.41,
2016-03-27,8000000,133.0,1.0,1.011,1082.7,
2016-03-28,8000000,133.0,1.0,0.996,1077.18,
2016-03-29,8000000,133.0,1.0,1.0,1076.46,
2016-03-30,8000000,133.0,1.0,1.003,1079.35,
2016-03-31,8000000,133.0,1.0,1.001,1079.71,
2016-04-01,8000000,146.3,1.1,0.995,1079.26,
2016-04-02,8000000,146.3,1.1,1.005,1088.97,
2016-04-03,8000000,146.3,1.1,1.003,1096.35,
2016-04-04,8000000,146.3,1.1,1.007,1107.79,
2016-04-05,8000000,146.3,1.1,0.996,1106.65,
2016-04-06,8000000,146.3,1.1,0.996,1105.8,
2016-04-07,8000000,146.3,1.1,0.996,1104.83,
2016-04-08,8000000,146.3,1.1,0.998,1106.15,
2016-04-09,8000000,146.3,1.1,1.007,1116.3,
2016-04-10,8000000,146.3,1.1,1.014,1133.57,
2016-04-11,8000000,146.3,1.1,1.005,1140.76,
2016-04-12,8000000,146.3,1.1,1.007,1150.28,
2016-04-13,8000000,146.3,1.1,0.985,1134.86,
2016-04-14,8000000,146.3,1.1,0.991,1127.01,
2016-04-15,8000000,146.3,1.1,1.001,1129.76,
2016-04-16,8000000,146.3,1.1,0.991,1121.63,
2016-04-17,8000000,146.3,1.1,1.001,1124.74,
2016-04-18,8000000,146.3,1.1,1.006,1133.68,
2016-04-19,8000000,146.3,1.1,1.008,1144.5,
2016-04-20,8000000,146.3,1.1,1.006,1152.82,
2016-04-21,8000000,146.3,1.1,1.001,1155.04,
2016-04-22,8000000,146.3,1.1,1.022,1179.77,
2016-04-23,8000000,146.3,1.1,0.969,1144.14,
2016-04-24,8000000,146.3,1.1,1.001,1146.24,
2016-04-25,8000000,146.3,1.1,1.013,1161.41,
2016-04-26,8000000,146.3,1.1,0.992,1153.24,
2016-04-27,8000000,146.3,1.1,0.99,1142.84,
2016-04-28,8000000,146.3,1.1,1.007,1151.77,
2016-04-29,8000000,146.3,1.1,0.991,1143.38,
2016-04-30,8000000,146.3,1.1,0.983,1126.07,
2016-05-01,8000000,146.3,1.1,0.992,1119.72,
2016-05-02,8000000,146.3,1.1,0.984,1105.15,
2016-05-03,8000000,146.3,1.1,1.009,1118.18,
2016-05-04,8000000,146.3,1.1,0.997,1117.49,
2016-05-05,8000000,146.3,1.1,1.006,1126.86,
2016-05-06,8000000,146.3,1.1,0.986,1114.02,
2016-05-07,8000000,146.3,1.1,0.994,1110.48,
2016-05-08,8000000,146.3,1.1,1.005,1118.97,
2016-05-09,8000000,146.3,1.1,1.015,1137.54,
2016-05-10,8000000,146.3,1.1,1.001,1140.66,
2016-05-11,8000000,146.3,1.1,0.995,1136.27,
2016-05-12,8000000,146.3,1.1,1.001,1138.81,
2016-05-13,8000000,146.3,1.1,0.996,1135.87,
2016-05-14,8000000,146.3,1.1,1.013,1151.41,
2016-05-15,8000000,146.3,1.1,0.997,1148.86,
2016-05-16,8000000,146.3,1.1,1.009,1159.96,
2016-05-17,8000000,146.3,1.1,1.002,1162.15,
2016-05-18,8000000,146.3,1.1,1.009,1172.13,
2016-05-19,8000000,146.3,1.1,0.999,1171.34,
2016-05-20,8000000,146.3,1.1,0.998,1169.14,
2016-05-21,8000000,146.3,1.1,0.991,1159.28,
2016-05-22,8000000,146.3,1.1,1.01,1171.08,
2016-05-23,8000000,146.3,1.1,1.002,1173.25,
2016-05-24,8000000,146.3,1.1,0.979,1149.32,
2016-05-25,8000000,146.3,1.1,0.984,1132.43,
2016-05-26,8000000,146.3,1.1,0.985,1117.86,
2016-05-27,8000000,146.3,1.1,0.986,1105.22,
2016-05-28,8000000,146.3,1.1,0.985,1093.02,
2016-05-29,8000000,146.3,1.1,1.004,1101.3,
2016-05-30,8000000,146.3,1.1,1.006,1110.55,
2016-05-31,8000000,146.3,1.1,0.989,1102.0,
2016-06-01,8000000,146.3,1.1,1.0,1105.35,
2016-06-02,8000000,146.3,1.1,0.984,1092.23,
2016-06-03,8000000,146.3,1.1,1.008,1104.79,
2016-06-04,8000000,146.3,1.1,1.001,1109.09,
2016-06-05,8000000,146.3,1.1,1.007,1119.81,
2016-06-06,8000000,146.3,1.1,1.012,1134.92,
2016-06-07,8000000,146.3,1.1,0.996,1132.71,
2016-06-08,8000000,146.3,1.1,0.992,1126.51,
2016-06-09,8000000,146.3,1.1,1.003,1131.99,
2016-06-10,8000000,146.3,1.1,1.013,1147.48,
2016-06-11,8000000,146.3,1.1,1.0,1148.38,
2016-06-12,8000000,146.3,1.1,0.994,1143.27,
2016-06-13,8000000,146.3,1.1,1.003,1147.97,
2016-06-14,8000000,146.3,1.1,0.992,1140.04,
2016-06-15,8000000,146.3,1.1,1.008,1150.42,
2016-06-16,8000000,146.3,1.1,1.012,1164.26,
2016-06-17,8000000,146.3,1.1,1.003,1167.87,
2016-06-18,8000000,146.3,1.1,0.994,1161.9,
2016-06-19,8000000,146.3,1.1,1.018,1182.27,
2016-06-20,8000000,146.3,1.1,1.007,1189.56,
2016-06-21,8000000,146.3,1.1,1.009,1198.73,
2016-06-22,8000000,146.3,1.1,0.997,1193.96,
2016-06-23,8000000,146.3,1.1,0.996,1188.67,
2016-06-24,8000000,146.3,1.1,0.989,1175.32,
2016-06-25,8000000,146.3,1.1,0.984,1157.14,
2016-06-26,8000000,146.3,1.1,1.005,1163.35,
2016-06-27,8000000,146.3,1.1,1.003,1166.63,
2016-06-28,8000000,146.3,1.1,1.004,1171.3,
2016-06-29,8000000,146.3,1.1,0.988,1157.45,
2016-06-30,8000000,146.3,1.1,0.989,1145.81,
2016-07-01,8000000,126.35,0.95,1.004,1143.0,
2016-07-02,8000000,126.35,0.95,0.987,1121.87,
2016-07-03,8000000,126.35,0.95,1.006,1122.57,
2016-07-04,8000000,126.35,0.95,0.986,1102.04,
2016-07-05,8000000,126.35,0.95,0.996,1093.31,
2016-07-06,8000000,126.35,0.95,0.994,1083.0,
2016-07-07,8000000,126.35,0.95,0.995,1073.89,
2016-07-08,8000000,126.35,0.95,1.009,1079.75,
2016-07-09,8000000,126.35,0.95,0.984,1059.86,
2016-07-10,8000000,126.35,0.95,1.007,1064.33,
2016-07-11,8000000,126.35,0.95,1.002,1063.89,
2016-07-12,8000000,126.35,0.95,1.004,1065.58,
2016-07-13,8000000,126.35,0.95,0.999,1062.0,
2016-07-14,8000000,126.35,0.95,1.001,1060.38,
2016-07-15,8000000,126.35,0.95,1.014,1072.42,
2016-07-16,8000000,126.35,0.95,1.003,1072.26,
2016-07-17,8000000,126.35,0.95,0.992,1060.78,
2016-07-18,8000000,126.35,0.95,0.995,1052.89,
2016-07-19,8000000,126.35,0.95,0.989,1040.19,
2016-07-20,8000000,126.35,0.95,0.996,1035.07,
2016-07-21,8000000,126.35,0.95,0.981,1015.51,
2016-07-22,8000000,126.35,0.95,1.013,1027.41,
2016-07-23,8000000,126.35,0.95,1.011,1037.44,
2016-07-24,8000000,126.35,0.95,1.005,1040.86,
2016-07-25,8000000,126.35,0.95,1.002,1040.97,
2016-07-26,8000000,126.35,0.95,0.991,1030.91,
2016-07-27,8000000,126.35,0.95,1.014,1043.22,
2016-07-28,8000000,126.64,0.95,1.01,1051.15,
2016-07-29,8000000,126.64,0.95,0.981,1030.49,
2016-07-30,8000000,126.64,0.95,1.011,1040.09,
2016-07-31,8000000,126.64,0.95,0.993,1032.13,
2016-08-01,8000000,126.64,0.95,1.015,1045.68,
2016-08-02,8000000,126.64,0.95,0.995,1039.24,
2016-08-03,8000000,126.64,0.95,1.0,1037.98,
2016-08-04,8000000,126.64,0.95,0.992,1028.53,
2016-08-05,8000000,126.64,0.95,0.98,1008.08,
2016-08-06,8000000,126.64,0.95,0.998,1006.36,
2016-08-07,8000000,126.64,0.95,1.004,1010.34,
2016-08-08,8000000,126.64,0.95,0.997,1007.19,
2016-08-09,8000000,126.64,0.95,0.993,1001.06,
2016-08-10,8000000,126.64,0.95,1.017,1018.18,
2016-08-11,8000000,126.64,0.95,0.996,1013.82,
2016-08-12,8000000,126.64,0.95,0.985,999.81,
2016-08-13,8000000,126.64,0.95,1.011,1010.62,
2016-08-14,8000000,126.64,0.95,0.994,1004.66,
2016-08-15,8000000,126.64,0.95,0.989,994.6,
2016-08-16,8000000,126.64,0.95,1.006,1001.36,
2016-08-17,8000000,126.64,0.95,0.991,993.85,
2016-08-18,8000000,126.64,0.95,0.997,991.54,
2016-08-19,8000000,126.64,0.95,1.006,998.69,
2016-08-20,8000000,126.64,0.95,0.994,993.26,
2016-08-21,8000000,126.64,0.95,1.027,1020.02,
2016-08-22,8000000,126.64,0.95,1.006,1025.38,
2016-08-23,8000000,126.64,0.95,0.99,1014.97,
2016-08-24,8000000,126.64,0.95,0.999,1014.1,
2016-08-25,8000000,126.64,0.95,1.014,1027.63,
2016-08-26,8000000,126.64,0.95,0.999,1025.75,
2016-08-27,8000000,126.64,0.95,0.994,1019.0,
2016-08-28,8000000,126.64,0.95,1.024,1041.62,
2016-08-29,8000000,126.64,0.95,0.992,1032.43,
2016-08-30,8000000,126.64,0.95,1.011,1042.69,
2016-08-31,8000000,126.64,0.95,0.988,1028.97,
2016-09-01,8000000,126.64,0.95,0.982,1010.41,
2016-09-02,8000000,126.64,0.95,1.02,1029.72,
2016-09-03,8000000,126.64,0.95,0.993,1022.23,
2016-09-04,8000000,126.64,0.95,0.993,1015.0,
2016-09-05,8000000,126.64,0.95,0.998,1012.83,
2016-09-06,8000000,126.64,0.95,1.0,1012.53,
2016-09-07,8000000,126.64,0.95,1.006,1017.89,
2016-09-08,8000000,126.64,0.95,0.988,1005.62,
2016-09-09,8000000,126.64,0.95,1.018,1023.62,
2016-09-10,8000000,126.64,0.95,1.028,1050.29,
2016-09-11,8000000,126.64,0.95,1.021,1069.6,
2016-09-12,8000000,126.64,0.95,0.991,1057.49,
2016-09-13,8000000,126.64,0.95,1.002,1057.43,
2016-09-14,8000000,126.64,0.95,1.009,1064.51,
2016-09-15,8000000,126.64,0.95,1.001,1062.6,
2016-09-16,8000000,126.64,0.95,0.993,1052.78,
2016-09-17,8000000,126.64,0.95,1.007,1058.06,
2016-09-18,8000000,126.64,0.95,0.996,1052.28,
2016-09-19,8000000,126.64,0.95,1.006,1056.21,
2016-09-20,8000000,126.64,0.95,1.003,1057.42,
2016-09-21,8000000,126.64,0.95,0.989,1044.03,
2016-09-22,8000000,126.64,0.95,1.007,1049.56,
2016-09-23,8000000,126.64,0.95,0.995,1042.8,
2016-09-24,8000000,126.64,0.95,1.007,1048.17,
2016-09-25,8000000,126.64,0.95,1.012,1058.19,
2016-09-26,8000000,126.64,0.95,1.005,1061.39,
2016-09-27,8000000,126.64,0.95,0.991,1049.71,
2016-09-28,8000000,126.64,0.95,0.988,1036.27,
2016-09-29,8000000,126.64,0.95,1.001,1036.24,
2016-09-30,8000000,126.64,0.95,1.004,1038.88,
2016-10-01,8000000,133.3,1.0,1.0,1039.95,
2016-10-02,8000000,133.3,1.0,0.983,1024.87,
2016-10-03,8000000,133.3,1.0,0.994,1021.45,
2016-10-04,8000000,133.3,1.0,1.008,1031.11,
2016-10-05,8000000,133.3,1.0,1.005,1037.34,
2016-10-06,8000000,133.3,1.0,1.017,1056.0,
2016-10-07,8000000,133.3,1.0,0.996,1052.2,
2016-10-08,8000000,133.3,1.0,0.995,1048.19,
2016-10-09,8000000,133.3,1.0,1.005,1053.86,
2016-10-10,8000000,133.3,1.0,1.016,1070.4,
2016-10-11,8000000,133.3,1.0,1.015,1085.61,
2016-10-12,8000000,133.3,1.0,0.994,1078.01,
2016-10-13,8000000,133.3,1.0,0.994,1070.93,
2016-10-14,8000000,133.3,1.0,0.975,1044.81,
2016-10-15,8000000,133.3,1.0,1.009,1054.78,
2016-10-16,8000000,133.3,1.0,1.012,1066.92,
2016-10-17,8000000,133.3,1.0,1.011,1077.97,
2016-10-18,8000000,133.3,1.0,1.01,1087.57,
2016-10-19,8000000,133.3,1.0,1.005,1091.56,
2016-10-20,8000000,133.3,1.0,0.996,1085.67,
2016-10-21,8000000,133.3,1.0,0.999,1083.84,
2016-10-22,8000000,133.3,1.0,1.004,1087.33,
2016-10-23,8000000,133.3,1.0,1.001,1086.97,
2016-10-24,8000000,133.3,1.0,1.014,1100.1,
2016-10-25,8000000,133.3,1.0,1.007,1105.71,
2016-10-26,8000000,133.3,1.0,1.02,1125.13,
2016-10-27,8000000,133.3,1.0,1.017,1140.45,
2016-10-28,8000000,133.3,1.0,0.991,1127.14,
2016-10-29,8000000,133.3,1.0,0.981,1103.67,
2016-10-30,8000000,133.3,1.0,1.013,1115.47,
2016-10-31,8000000,133.3,1.0,0.989,1101.33,
2016-11-01,8000000,133.3,1.0,1.008,1107.53,
2016-11-02,8000000,133.3,1.0,0.994,1098.8,
2016-11-03,8000000,133.3,1.0,1.003,1099.91,
2016-11-04,8000000,133.3,1.0,1.001,1099.73,
2016-11-05,8000000,133.3,1.0,0.999,1096.96,
2016-11-06,8000000,133.3,1.0,0.991,1086.13,
2016-11-07,8000000,133.3,1.0,1.016,1101.66,
2016-11-08,8000000,133.3,1.0,1.006,1106.5,
2016-11-09,8000000,133.3,1.0,1.009,1114.43,
2016-11-10,8000000,133.3,1.0,1.009,1121.43,
2016-11-11,8000000,133.3,1.0,1.009,1128.77,
2016-11-12,8000000,133.3,1.0,0.991,1115.91,
2016-11-13,8000000,133.3,1.0,0.991,1104.13,
2016-11-14,8000000,133.3,1.0,1.002,1104.71,
2016-11-15,8000000,133.3,1.0,1.012,1115.73,
2016-11-16,8000000,133.3,1.0,0.995,1107.94,
